pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips
33.0,3.25,5,17,1,2013-05-19 17:15:00,41.84924675,-87.6241353,0.0,0.0,0.0,Unknown,Cash,Taxi Affiliation Services,0.0,0.0,0.0
14.0,8.85,4,19,7,2013-04-27 19:30:00,41.968069,-87.72155906,41.89321636,-87.63415609,2.72,Unknown,Cash,Unknown,540.0,Unknown,0.0
7.0,5.85,2,0,7,2013-02-16 00:00:00,41.92177836,-87.64145976,41.89321636,-87.63415609,1.26,Unknown,Cash,Unknown,300.0,Unknown,0.0
8.0,7.25,1,20,7,2013-01-05 20:15:00,41.9049353,-87.64990723,41.89321636,-87.63415609,1.62,Unknown,Cash,Unknown,540.0,Unknown,0.0
33.0,10.65,4,19,7,2013-04-27 19:30:00,41.84924675,-87.6241353,41.89321636,-87.63415609,3.28,Unknown,Cash,Unknown,840.0,Unknown,0.0
33.0,46.85,3,1,1,2014-03-02 01:30:00,41.85718386,-87.62033462,41.89321636,-87.63415609,22.9,Unknown,Cash,Northwest Management LLC,3180.0,Unknown,0.0
33.0,34.45,11,19,6,2013-11-22 19:30:00,41.85718386,-87.62033462,41.89321636,-87.63415609,0.0,Unknown,Cash,Taxi Affiliation Services,2640.0,Unknown,0.0
33.0,23.85,1,2,2,2013-01-07 02:00:00,41.85718386,-87.62033462,41.89321636,-87.63415609,10.5,Unknown,Cash,Unknown,1200.0,Unknown,0.0
6.0,12.25,10,1,1,2016-10-16 01:00:00,41.95282292,-87.65324399,41.92045151,-87.67995477,3.5,17031832200.0,Credit Card,Unknown,900.0,22.0,3.0
24.0,3.85,3,15,6,2015-03-27 15:15:00,41.89967018,-87.6698378,41.92045151,-87.67995477,0.23,17031832200.0,Cash,Unknown,120.0,22.0,0.0
24.0,6.05,8,23,5,2015-08-13 23:45:00,41.90602597,-87.67531162,41.92045151,-87.67995477,1.1,17031832200.0,Cash,Taxi Affiliation Services,360.0,22.0,0.0
24.0,7.25,10,21,7,2014-10-04 21:30:00,41.90665077,-87.66533766,41.92045151,-87.67995477,1.7,17031832200.0,Credit Card,Unknown,480.0,22.0,2.0
32.0,7.85,11,11,2,2013-11-04 11:00:00,41.87101588,-87.63140653,41.84924675,-87.6241353,1.8,17031841000.0,Cash,Unknown,540.0,33.0,0.0
33.0,13.05,9,17,2,2014-09-29 17:00:00,41.84924675,-87.6241353,41.84924675,-87.6241353,3.0,17031841000.0,Cash,Unknown,1500.0,33.0,0.0
2.0,5.05,11,20,2,2014-11-10 20:30:00,42.00157103,-87.69501259,42.00157103,-87.69501259,0.73,Unknown,Cash,Unknown,180.0,2.0,0.0
4.0,7.45,3,12,1,2014-03-23 12:00:00,41.97517094,-87.68751552,42.00157103,-87.69501259,0.1,Unknown,Cash,Taxi Affiliation Services,420.0,2.0,0.0
2.0,3.45,7,18,5,2013-07-25 18:00:00,42.00157103,-87.69501259,42.00157103,-87.69501259,0.0,Unknown,Cash,Unknown,60.0,2.0,0.0
2.0,4.65,12,15,1,2014-12-28 15:45:00,42.00157103,-87.69501259,42.00157103,-87.69501259,0.7,Unknown,Cash,Taxi Affiliation Services,180.0,2.0,0.0
2.0,6.25,7,11,1,2014-07-13 11:30:00,42.00157103,-87.69501259,42.00157103,-87.69501259,0.0,Unknown,Cash,Taxi Affiliation Services,360.0,2.0,0.0
2.0,10.05,3,20,6,2014-03-21 20:30:00,42.00157103,-87.69501259,42.00157103,-87.69501259,3.13,Unknown,Cash,Unknown,660.0,2.0,0.0
2.0,3.25,8,19,2,2015-08-31 19:00:00,42.00157103,-87.69501259,42.00157103,-87.69501259,0.0,Unknown,Cash,Blue Ribbon Taxi Association Inc.,60.0,2.0,0.0
2.0,3.25,3,6,2,2014-03-10 06:15:00,42.00157103,-87.69501259,42.00157103,-87.69501259,0.0,Unknown,Cash,Unknown,0.0,2.0,0.0
14.0,9.85,6,18,3,2013-06-11 18:00:00,41.968069,-87.72155906,42.00157103,-87.69501259,2.4,Unknown,Cash,Unknown,900.0,2.0,0.0
4.0,9.45,3,22,5,2015-03-19 22:45:00,41.97517094,-87.68751552,42.00157103,-87.69501259,3.1,Unknown,Cash,Unknown,600.0,2.0,0.0
2.0,5.85,10,0,7,2014-10-11 00:00:00,42.00157103,-87.69501259,42.00157103,-87.69501259,0.95,Unknown,Credit Card,Unknown,300.0,2.0,0.88
2.0,3.25,1,9,1,2015-01-25 09:45:00,42.00157103,-87.69501259,42.00157103,-87.69501259,0.0,Unknown,Cash,Blue Ribbon Taxi Association Inc.,0.0,2.0,0.0
2.0,3.25,5,17,4,2015-05-20 17:30:00,42.00157103,-87.69501259,42.00157103,-87.69501259,0.0,Unknown,Cash,Taxi Affiliation Services,0.0,2.0,0.0
21.0,10.45,12,23,1,2013-12-15 23:45:00,41.9386662,-87.71121059,41.90120699,-87.67635599,3.2,Unknown,Cash,Taxi Affiliation Services,720.0,24.0,0.0
3.0,5.25,10,17,7,2013-10-19 17:00:00,41.97270955,-87.65734111,41.97243708,-87.67110953,0.0,17031031000.0,Cash,Blue Ribbon Taxi Association Inc.,360.0,3.0,0.0
6.0,7.45,6,17,1,2013-06-02 17:45:00,41.95271911,-87.6605035,41.97243708,-87.67110953,1.9,17031031000.0,Cash,Unknown,480.0,3.0,0.0
3.0,6.65,8,15,1,2015-08-02 15:00:00,41.97243708,-87.67110953,41.97243708,-87.67110953,0.7,17031031000.0,Cash,Unknown,540.0,3.0,0.0
24.0,12.25,1,2,1,2014-01-12 02:00:00,41.90837867,-87.67094508,41.97243708,-87.67110953,0.2,17031031000.0,Cash,Taxi Affiliation Services,720.0,3.0,0.0
8.0,6.05,7,21,3,2013-07-16 21:15:00,41.90585777,-87.63086503,41.89250778,-87.62621491,0.0,17031081500.0,Cash,Choice Taxi Association,420.0,8.0,0.0
8.0,8.45,2,21,5,2015-02-26 21:00:00,41.90741282,-87.64090153,41.89250778,-87.62621491,1.9,17031081500.0,Cash,Taxi Affiliation Services,780.0,8.0,0.0
7.0,12.65,12,20,5,2013-12-12 20:00:00,41.92681118,-87.64260525,41.89250778,-87.62621491,0.2,17031081500.0,Cash,Blue Ribbon Taxi Association Inc.,1320.0,8.0,0.0
7.0,8.85,9,19,1,2013-09-22 19:15:00,41.92185491,-87.64621098,41.89250778,-87.62621491,2.5,17031081500.0,Credit Card,Dispatch Taxi Affiliation,660.0,8.0,2.0
6.0,11.25,7,0,7,2015-07-04 00:00:00,41.93839126,-87.63857492,41.89250778,-87.62621491,3.8,17031081500.0,Cash,Unknown,660.0,8.0,0.0
7.0,10.45,11,13,1,2013-11-03 13:00:00,41.92170149,-87.65591185,41.89250778,-87.62621491,0.1,17031081500.0,Cash,Taxi Affiliation Services,960.0,8.0,0.0
6.0,11.25,10,8,5,2015-10-15 08:15:00,41.94315509,-87.64069808,41.89250778,-87.62621491,3.4,17031081500.0,Cash,Unknown,840.0,8.0,0.0
28.0,11.25,12,12,2,2013-12-09 12:30:00,41.86790242,-87.64295867,41.89250778,-87.62621491,0.2,17031081500.0,Credit Card,Taxi Affiliation Services,720.0,8.0,2.8
7.0,8.65,12,0,6,2014-12-19 00:00:00,41.92926299,-87.63589095,41.89250778,-87.62621491,0.1,17031081500.0,Cash,Taxi Affiliation Services,360.0,8.0,0.0
6.0,16.45,2,23,7,2015-02-07 23:30:00,41.95753092,-87.66661144,41.89250778,-87.62621491,6.6,17031081500.0,Cash,Chicago Medallion Management,960.0,8.0,0.0
6.0,12.65,3,23,7,2013-03-16 23:00:00,41.93465916,-87.64672973,41.89250778,-87.62621491,0.0,17031081500.0,Credit Card,Taxi Affiliation Services,780.0,8.0,2.5
24.0,6.45,4,22,4,2013-04-24 22:45:00,41.89265811,-87.65253448,41.89250778,-87.62621491,0.0,17031081500.0,Cash,Taxi Affiliation Services,360.0,8.0,0.0
7.0,9.45,12,11,4,2015-12-23 11:00:00,41.92926299,-87.63589095,41.89250778,-87.62621491,3.1,17031081500.0,Cash,Taxi Affiliation Services,540.0,8.0,0.0
6.0,11.05,3,14,1,2014-03-09 14:00:00,41.94269184,-87.65177051,41.89250778,-87.62621491,0.2,17031081500.0,Cash,Taxi Affiliation Services,540.0,8.0,0.0
33.0,11.75,9,12,2,2016-09-26 12:00:00,41.84924675,-87.6241353,41.89250778,-87.62621491,3.2,17031081500.0,Credit Card,Unknown,720.0,8.0,2.0
3.0,5.25,3,18,7,2014-03-15 18:15:00,41.95815488,-87.65302179,41.95753092,-87.66661144,0.06,17031060100.0,Credit Card,Unknown,360.0,6.0,2.0
22.0,9.05,2,21,2,2014-02-17 21:15:00,41.92861905,-87.68536202,41.95773557,-87.6837181,2.8,17031050200.0,Cash,Dispatch Taxi Affiliation,600.0,5.0,0.0
6.0,6.05,4,0,7,2015-04-04 00:30:00,41.94913977,-87.65680391,41.95773557,-87.6837181,1.3,17031050200.0,Cash,Dispatch Taxi Affiliation,300.0,5.0,0.0
7.0,5.65,1,19,1,2015-01-18 19:45:00,41.92904694,-87.65131088,41.92187746,-87.66407824,1.1,17031832500.0,Cash,Taxi Affiliation Services,300.0,7.0,0.0
7.0,5.65,11,21,6,2015-11-20 21:45:00,41.92185491,-87.64621098,41.92187746,-87.66407824,1.0,17031832500.0,Credit Card,Northwest Management LLC,300.0,7.0,2.0
41.0,26.05,3,15,1,2015-03-22 15:30:00,41.79050626,-87.58314372,41.92187746,-87.66407824,11.9,17031832500.0,Cash,Top Cab Affiliation,1500.0,7.0,0.0
6.0,8.05,11,1,1,2013-11-24 01:30:00,41.94258518,-87.65664409,41.92187746,-87.66407824,0.0,17031832500.0,Credit Card,Taxi Affiliation Services,540.0,7.0,1.5
6.0,9.25,2,14,7,2015-02-14 14:30:00,41.93476246,-87.63985386,41.92187746,-87.66407824,2.6,17031832500.0,Credit Card,Unknown,780.0,7.0,1.25
22.0,5.65,7,22,7,2013-07-27 22:00:00,41.91600527,-87.67509512,41.92187746,-87.66407824,1.3,17031832500.0,Credit Card,Taxi Affiliation Services,300.0,7.0,2.0
6.0,6.65,6,20,1,2014-06-15 20:45:00,41.94257719,-87.64707851,41.96363317,-87.65236536,1.4,17031031502.0,Cash,Unknown,420.0,3.0,0.0
24.0,9.65,4,1,2,2014-04-14 01:30:00,41.90602597,-87.67531162,41.89204214,-87.63186395,0.2,17031081700.0,Credit Card,Taxi Affiliation Services,420.0,8.0,2.1
7.0,12.85,9,21,1,2013-09-01 21:30:00,41.92907766,-87.64629348,41.89204214,-87.63186395,0.2,17031081700.0,Credit Card,Taxi Affiliation Services,960.0,8.0,2.0
7.0,9.65,2,19,6,2014-02-21 19:15:00,41.92208254,-87.63415609,41.89204214,-87.63186395,2.3,17031081700.0,Credit Card,Unknown,900.0,8.0,2.0
7.0,11.85,2,19,5,2013-02-07 19:45:00,41.92904694,-87.65131088,41.89204214,-87.63186395,3.6,17031081700.0,Cash,Unknown,1140.0,8.0,0.0
24.0,8.45,7,20,7,2014-07-05 20:30:00,41.90602597,-87.67531162,41.89204214,-87.63186395,2.6,17031081700.0,Cash,Top Cab Affiliation,420.0,8.0,0.0
22.0,10.65,2,20,6,2015-02-06 20:15:00,41.91922505,-87.67144577,41.89204214,-87.63186395,3.3,17031081700.0,Cash,Taxi Affiliation Services,720.0,8.0,0.0
7.0,10.85,3,20,5,2013-03-07 20:30:00,41.92177819,-87.65106188,41.89204214,-87.63186395,3.2,17031081700.0,Cash,Unknown,960.0,8.0,0.0
24.0,5.85,8,10,7,2015-08-22 10:45:00,41.89265811,-87.65253448,41.89204214,-87.63186395,1.9,17031081700.0,Cash,Dispatch Taxi Affiliation,360.0,8.0,0.0
8.0,5.85,1,3,7,2015-01-24 03:00:00,41.90585777,-87.63086503,41.89204214,-87.63186395,1.3,17031081700.0,Cash,Dispatch Taxi Affiliation,360.0,8.0,0.0
24.0,5.85,1,22,5,2014-01-16 22:00:00,41.89265811,-87.65253448,41.89204214,-87.63186395,0.0,17031081700.0,Credit Card,Taxi Affiliation Services,360.0,8.0,2.0
7.0,10.65,6,18,6,2013-06-21 18:45:00,41.92907766,-87.64629348,41.89204214,-87.63186395,0.0,17031081700.0,Cash,Dispatch Taxi Affiliation,1020.0,8.0,0.0
6.0,15.65,8,23,3,2015-08-18 23:15:00,41.94913977,-87.65680391,41.89204214,-87.63186395,6.1,17031081700.0,Credit Card,KOAM Taxi Association,1020.0,8.0,3.5
6.0,16.45,11,19,6,2013-11-01 19:30:00,41.95753092,-87.66661144,41.89204214,-87.63186395,6.5,17031081700.0,Cash,Unknown,1080.0,8.0,0.0
32.0,7.85,2,23,7,2014-02-22 23:00:00,41.87101588,-87.63140653,41.89204214,-87.63186395,1.9,17031081700.0,Cash,Unknown,600.0,8.0,0.0
77.0,18.45,1,20,6,2014-01-24 20:45:00,41.97991245,-87.66418824,41.89204214,-87.63186395,8.1,17031081700.0,Credit Card,Unknown,1020.0,8.0,2.0
66.0,3.25,2,2,6,2015-02-27 02:15:00,41.77184852,-87.69566634,41.77184852,-87.69566634,0.0,Unknown,Cash,Taxi Affiliation Services,0.0,66.0,0.0
33.0,5.75,4,1,2,2016-04-18 01:45:00,41.85718386,-87.62033462,41.87886558,-87.62519214,0.8,Unknown,Cash,Taxi Affiliation Services,180.0,32.0,0.0
33.0,7.05,9,23,3,2013-09-10 23:15:00,41.85718386,-87.62033462,41.87886558,-87.62519214,0.0,Unknown,Credit Card,Blue Ribbon Taxi Association Inc.,420.0,32.0,1.0
4.0,25.45,2,9,5,2014-02-27 09:30:00,41.97517094,-87.68751552,41.87886558,-87.62519214,11.0,Unknown,Cash,Unknown,1500.0,32.0,0.0
16.0,17.64,6,8,2,2015-06-22 08:45:00,41.95358213,-87.72345239,41.87886558,-87.62519214,7.2,Unknown,Credit Card,Unknown,1620.0,32.0,1.5
14.0,21.25,12,4,4,2014-12-03 04:00:00,41.968069,-87.72155906,41.87886558,-87.62519214,9.3,Unknown,Cash,Unknown,1080.0,32.0,0.0
31.0,11.25,10,18,6,2015-10-09 18:45:00,41.85026637,-87.66756931,41.87886558,-87.62519214,2.5,Unknown,Credit Card,Unknown,1020.0,32.0,2.45
31.0,16.05,9,10,4,2014-09-03 10:15:00,41.85026637,-87.66756931,41.87886558,-87.62519214,6.5,Unknown,Credit Card,Taxi Affiliation Services,1200.0,32.0,2.0
39.0,17.05,4,20,5,2014-04-17 20:00:00,41.80891628,-87.59618334,41.87886558,-87.62519214,0.4,Unknown,Cash,Taxi Affiliation Services,1080.0,32.0,0.0
4.0,23.85,3,14,4,2013-03-27 14:00:00,41.97517094,-87.68751552,41.87886558,-87.62519214,0.6,Unknown,Cash,Taxi Affiliation Services,1380.0,32.0,0.0
6.0,5.25,11,0,1,2013-11-17 00:15:00,41.95067336,-87.66653628,41.95340004,-87.64600707,0.1,17031060800.0,Cash,Unknown,240.0,6.0,0.0
7.0,9.25,9,4,7,2013-09-21 04:00:00,41.92907766,-87.64629348,41.95340004,-87.64600707,0.2,17031060800.0,Cash,Taxi Affiliation Services,420.0,6.0,0.0
7.0,3.75,12,20,2,2016-12-19 20:00:00,41.93057857,-87.64220631,41.93057857,-87.64220631,0.2,17031070102.0,Cash,Unknown,60.0,7.0,0.0
6.0,6.25,6,3,7,2016-06-25 03:15:00,41.93631013,-87.65156259,41.93057857,-87.64220631,1.0,17031070102.0,Cash,Unknown,360.0,7.0,0.0
28.0,38.45,10,9,2,2015-10-05 09:15:00,41.86790242,-87.64295867,41.97907082,-87.90303966,18.6,17031980000.0,Cash,Unknown,2460.0,76.0,0.0
32.0,35.85,3,23,7,2015-03-07 23:00:00,41.87101588,-87.63140653,41.97907082,-87.90303966,17.7,17031980000.0,Cash,Northwest Management LLC,1320.0,76.0,0.0
8.0,34.25,9,19,5,2013-09-26 19:45:00,41.9049353,-87.64990723,41.97907082,-87.90303966,16.7,17031980000.0,Credit Card,Top Cab Affiliation,1980.0,76.0,7.45
7.0,32.25,7,10,4,2013-07-03 10:15:00,41.92681118,-87.64260525,41.97907082,-87.90303966,0.0,17031980000.0,Cash,Taxi Affiliation Services,1680.0,76.0,0.0
33.0,42.25,6,10,3,2013-06-25 10:30:00,41.84924675,-87.6241353,41.97907082,-87.90303966,0.0,17031980000.0,Credit Card,Taxi Affiliation Services,2040.0,76.0,8.85
33.0,42.45,6,17,4,2014-06-18 17:00:00,41.84924675,-87.6241353,41.97907082,-87.90303966,20.5,17031980000.0,Credit Card,Unknown,3300.0,76.0,7.0
5.0,28.85,9,5,2,2014-09-15 05:30:00,41.9505457,-87.6761825,41.97907082,-87.90303966,13.3,17031980000.0,Cash,Unknown,1740.0,76.0,0.0
7.0,33.04,1,9,3,2015-01-27 09:45:00,41.92926299,-87.63589095,41.97907082,-87.90303966,15.7,17031980000.0,Credit Card,Unknown,1680.0,76.0,7.0
8.0,34.65,6,4,2,2014-06-23 04:30:00,41.90585777,-87.63086503,41.97907082,-87.90303966,1.71,17031980000.0,Credit Card,Unknown,1380.0,76.0,7.33
8.0,36.04,4,7,3,2015-04-28 07:45:00,41.90949567,-87.6309636,41.97907082,-87.90303966,16.5,17031980000.0,Cash,Unknown,2940.0,76.0,0.0
33.0,50.25,6,15,3,2016-06-07 15:45:00,41.84924675,-87.6241353,41.97907082,-87.90303966,0.0,17031980000.0,Credit Card,Taxi Affiliation Services,3300.0,76.0,12.55
16.0,17.64,10,22,1,2014-10-26 22:30:00,41.95358213,-87.72345239,42.00962288,-87.67016686,7.0,Unknown,Credit Card,Unknown,1380.0,1.0,4.66
12.0,11.45,7,20,5,2014-07-31 20:45:00,41.99393013,-87.75835359,42.00962288,-87.67016686,0.0,Unknown,Cash,Blue Ribbon Taxi Association Inc.,960.0,1.0,0.0
2.0,6.65,2,7,3,2014-02-11 07:30:00,42.00157103,-87.69501259,42.00962288,-87.67016686,1.3,Unknown,Cash,Unknown,480.0,1.0,0.0
13.0,11.05,4,21,4,2015-04-22 21:45:00,41.98363631,-87.72358319,42.00962288,-87.67016686,0.2,Unknown,Credit Card,Taxi Affiliation Services,660.0,1.0,2.2
23.0,3.25,9,0,1,2013-09-15 00:30:00,41.9000696,-87.72091824,41.9000696,-87.72091824,0.0,Unknown,Cash,Choice Taxi Association,0.0,23.0,0.0
7.0,4.45,1,3,1,2014-01-19 03:45:00,41.92177819,-87.65106188,41.92177836,-87.64145976,0.0,17031071300.0,Cash,Blue Ribbon Taxi Association Inc.,180.0,7.0,0.0
7.0,6.05,4,0,1,2013-04-07 00:15:00,41.92926299,-87.63589095,41.92177836,-87.64145976,1.3,17031071300.0,Cash,Unknown,420.0,7.0,0.0
7.0,3.85,4,16,1,2015-04-26 16:15:00,41.92926299,-87.63589095,41.92177836,-87.64145976,0.3,17031071300.0,Cash,Unknown,60.0,7.0,0.0
10.0,18.45,9,3,7,2015-09-26 03:00:00,41.9850151,-87.80453201,41.96581197,-87.65587879,0.5,Unknown,Cash,Taxi Affiliation Services,1320.0,3.0,0.0
14.0,9.85,3,1,7,2013-03-09 01:45:00,41.968069,-87.72155906,41.96581197,-87.65587879,3.4,Unknown,Cash,Unknown,540.0,3.0,0.0
4.0,8.65,8,15,5,2014-08-21 15:15:00,41.97517094,-87.68751552,41.96581197,-87.65587879,0.0,Unknown,Credit Card,Taxi Affiliation Services,720.0,3.0,1.0
7.0,8.45,8,0,7,2013-08-24 00:45:00,41.93057857,-87.64220631,41.90026569,-87.63210922,0.0,17031081000.0,Cash,Taxi Affiliation Services,720.0,8.0,0.0
6.0,9.85,6,22,2,2015-06-08 22:45:00,41.93465916,-87.64672973,41.90026569,-87.63210922,3.1,17031081000.0,Credit Card,Dispatch Taxi Affiliation,720.0,8.0,2.0
7.0,5.05,6,19,6,2013-06-28 19:30:00,41.92177819,-87.65106188,41.91474731,-87.65400703,0.0,17031832600.0,Cash,Taxi Affiliation Services,240.0,7.0,0.0
8.0,3.85,12,23,3,2014-12-02 23:30:00,41.9049353,-87.64990723,41.91474731,-87.65400703,0.2,17031832600.0,Credit Card,Choice Taxi Association,120.0,7.0,3.0
24.0,6.25,7,13,5,2013-07-04 13:00:00,41.90665077,-87.66533766,41.91474731,-87.65400703,0.0,17031832600.0,Cash,Taxi Affiliation Services,300.0,7.0,0.0
6.0,6.85,3,3,1,2014-03-09 03:15:00,41.93823229,-87.64678208,41.91474731,-87.65400703,0.0,17031832600.0,Cash,Choice Taxi Association,480.0,7.0,0.0
8.0,3.65,2,17,4,2014-02-05 17:15:00,41.9049353,-87.64990723,41.91474731,-87.65400703,0.0,17031832600.0,Cash,Taxi Affiliation Services,0.0,7.0,0.0
6.0,8.45,10,19,5,2014-10-23 19:30:00,41.93631013,-87.65156259,41.91474731,-87.65400703,0.1,17031832600.0,Credit Card,Taxi Affiliation Services,780.0,7.0,3.0
6.0,7.85,5,20,3,2013-05-07 20:45:00,41.94258518,-87.65664409,41.91474731,-87.65400703,2.1,17031832600.0,Cash,Unknown,540.0,7.0,0.0
24.0,7.85,9,0,7,2014-09-27 00:15:00,41.8995898,-87.67471913,41.92843156,-87.69996859,2.1,17031220400.0,Cash,Dispatch Taxi Affiliation,600.0,22.0,0.0
6.0,10.65,8,2,1,2015-08-30 02:15:00,41.94913977,-87.65680391,41.92843156,-87.69996859,3.6,17031220400.0,Credit Card,Unknown,780.0,22.0,2.0
29.0,19.65,9,21,6,2015-09-11 21:15:00,41.86076226,-87.7006919,41.92843156,-87.69996859,8.55,17031220400.0,Cash,Unknown,1020.0,22.0,0.0
16.0,6.25,6,20,7,2014-06-28 20:30:00,41.95358213,-87.72345239,41.9386662,-87.71121059,1.3,Unknown,Cash,Northwest Management LLC,300.0,21.0,0.0
16.0,5.25,9,5,1,2013-09-08 05:15:00,41.95358213,-87.72345239,41.9386662,-87.71121059,1.1,Unknown,Credit Card,Unknown,120.0,21.0,2.0
16.0,8.25,10,8,6,2013-10-11 08:00:00,41.95358213,-87.72345239,41.9386662,-87.71121059,0.0,Unknown,Cash,Taxi Affiliation Services,540.0,21.0,0.0
21.0,4.45,11,9,6,2014-11-21 09:15:00,41.9386662,-87.71121059,41.9386662,-87.71121059,0.71,Unknown,Cash,Unknown,180.0,21.0,0.0
21.0,3.25,11,10,6,2013-11-01 10:30:00,41.9386662,-87.71121059,41.9386662,-87.71121059,0.0,Unknown,Cash,Taxi Affiliation Services,0.0,21.0,0.0
21.0,7.45,7,10,5,2014-07-10 10:00:00,41.9386662,-87.71121059,41.9386662,-87.71121059,1.4,Unknown,Credit Card,Unknown,540.0,21.0,0.0
7.0,10.05,7,0,1,2014-07-27 00:30:00,41.92185491,-87.64621098,41.95815488,-87.65302179,3.6,17031032100.0,Credit Card,5129 - Mengisti Taxi,540.0,3.0,2.4
6.0,5.25,10,22,7,2015-10-17 22:30:00,41.94269184,-87.65177051,41.95815488,-87.65302179,0.8,17031032100.0,Cash,Top Cab Affiliation,300.0,3.0,0.0
3.0,3.25,9,17,1,2015-09-20 17:00:00,41.95815488,-87.65302179,41.95815488,-87.65302179,6.5,17031032100.0,Cash,Choice Taxi Association,0.0,3.0,0.0
6.0,6.25,6,2,2,2014-06-23 02:30:00,41.94323712,-87.64347096,41.95815488,-87.65302179,1.4,17031032100.0,Cash,Unknown,360.0,3.0,0.0
59.0,3.25,1,13,6,2014-01-03 13:45:00,41.83351789,-87.68135583,41.83351789,-87.68135583,0.0,17031840300.0,Cash,Taxi Affiliation Services,0.0,59.0,0.0
7.0,3.25,10,23,5,2013-10-31 23:15:00,41.92896727,-87.65615683,41.92896727,-87.65615683,0.0,17031070400.0,Cash,Blue Ribbon Taxi Association Inc.,0.0,7.0,0.0
24.0,11.25,12,20,6,2013-12-06 20:15:00,41.89950655,-87.67960029,41.92896727,-87.65615683,3.4,17031070400.0,Cash,Taxi Affiliation Services,1020.0,7.0,0.0
